,ZA,IA,ZB,IB,IO,PO,HIGH,CMP,CSELECT,FINAL
OPP-0x6B,,x,x,,x,x,,x,,B6
OPP-0x6C,,,,,,,,x,,80
OPP-0x6D,,,,,,,,x,,80
OPP-0x6E,,,,,,,,x,,80
OPP-0x6F,,,,,,,,x,,80
OPP-0x70,,,,,,,,x,,80
OPP-0x71,,,,,,,,x,,80
OPP-0x72,,,,,,,,x,,80
OPP-0x73,,,,,,,,x,,80
OPP-0x74,,,,,,,,x,,80
OPP-0x75,,,,,,,,x,,80
OPP-0x76,,,,,,,,x,,80
OPP-0x77,,,,,,,,x,,80
OPP-0x78,,,,x,,x,,x,,A8
OPP-0x79,,,,x,,x,,x,,A8
OPP-0x7A,,,,x,,x,,x,,A8
OPP-0x7B,,,,x,,x,,x,,A8
OPP-0x7C,,,,x,,x,,x,,A8
OPP-0x7D,,,,x,,x,,x,,A8
OPP-0x7E,,,,x,,x,,x,,A8
OPP-0x7F,,,,x,,x,,x,,A8
OPP-0x80,,,,x,,x,,x,,A8
OPP-0x81,,,,x,,x,,x,,A8
OPP-0x82,,,,x,,x,,x,,A8
OPP-0x83,,,,x,,x,,x,,A8
OPP-0x84,,,,,,,,x,2,280
OPP-0x85,,,,,,,,x,2,280
OPP-0x86,,,,,,,,x,2,280
OPP-0x87,,,,,,,,x,2,280
OPP-0x88,,,,,,,,x,2,280
OPP-0x89,,,,,,,,x,2,280
OPP-0x8A,,,,,,,,x,2,280
OPP-0x8B,,,,,,,,x,2,280
OPP-0x8C,,,,,,,,x,2,280
OPP-0x8D,,,,,,,,x,2,280
OPP-0x8E,,,,,,,,x,2,280
OPP-0x8F,,,,,,,,x,2,280
OPP-0x90,,,,,,,,x,2,280
OPP-0x91,,,,,,,,x,2,280
OPP-0x92,,,,,,,,x,2,280
OPP-0x93,,,,,,,,x,2,280
OPP-0x94,,,,,,,x,x,2,2C0
OPP-0x95,,,,,,,x,x,2,2C0
OPP-0x96,,,,,,,x,x,2,2C0
OPP-0x97,,,,,,,x,x,2,2C0
OPP-0x98,,,,,,,x,x,2,2C0
OPP-0x99,,,,,,,x,x,2,2C0
OPP-0x9A,,,,,,,x,x,2,2C0
OPP-0x9B,,,,,,,x,x,2,2C0
OPP-0x9C,,,,,,,x,x,2,2C0
OPP-0x9D,,,,,,,x,x,2,2C0
OPP-0x9E,,,,,,,x,x,2,2C0
OPP-0x9F,,,,,,,x,x,2,2C0
OPP-0xA0,,,,,,,x,x,2,2C0
OPP-0xA1,,,,,,,x,x,2,2C0
OPP-0xA2,,,,,,,x,x,2,2C0
OPP-0xA3,,,,,,,x,x,2,2C0
OPP-0xA4,,,,,,,,x,3,380
OPP-0xA5,,,,,,,,x,3,380
OPP-0xA6,,,,,,,,x,3,380
OPP-0xA7,,,,,,,,x,3,380
OPP-0xA8,,,,,,,,x,3,380
OPP-0xA9,,,,,,,,x,3,380
OPP-0xAA,,,,,,,,x,3,380
OPP-0xAB,,,,,,,,x,3,380
OPP-0xAC,,,,,,,,x,3,380
OPP-0xAD,,,,,,,,x,3,380
OPP-0xAE,,,,,,,,x,3,380
OPP-0xAF,,,,,,,,x,3,380
OPP-0xB0,,,,,,,,x,1,180
OPP-0xB1,,,,,,,,x,1,180
OPP-0xB2,,,,,,,,x,1,180
OPP-0xB3,,,,,,,,x,1,180
OPP-0xB4,,,,,,,,x,1,180
OPP-0xB5,,,,,,,,x,1,180
OPP-0xB6,,x,,x,x,,,x,1,19A
OPP-0xB7,,x,,x,x,,,x,1,19A
OPP-0xB8,,x,,x,x,,,x,1,19A
OPP-0xB9,,x,,x,x,,,x,1,19A
OPP-0xBA,,x,,x,x,,,x,1,19A
OPP-0xBB,,x,,x,x,,,x,1,19A
OPP-0xBC,,,,,,,,x,,80
OPP-0xBD,,,,,,,,x,,80
OPP-0xBE,,,,,,,,x,,80
OPP-0xBF,,,,,,,,x,,80
LOAD-0xC0,,,,,,,,,,0
LOAD-0xC1,,,,,,,,,,0
LOAD-0xC2,,,,,,,,,,0
LOAD-0xC3,,,,,,,,,,0
LOAD-0xC4,,,,,,,,,,0
LOAD-0xC5,,,,,,,,,,0
LOAD-0xC6,,,,,,,,,,0
LOAD-0xC7,,,,,,,,,,0
LOAD-0xC8,,,,,,,,,,0
LOAD-0xC9,,,,,,,,,,0
LOAD-0xCA,,,,,,,,,,0
LOAD-0xCB,,,,,,,,,,0
LOAD-0xCC,,,,,,,,,,0
LOAD-0xCD,,,,,,,,,,0
LOAD-0xCE,,,,,,,,,,0
LOAD-0xCF,,,,,,,,,,0
LOAD-0xD0,,,x,,,,,,,4
LOAD-0xD1,,,x,,,,,,,4
LOAD-0xD2,,,x,,,,,,,4
LOAD-0xD3,,,x,,,,,,,4
LOAD-0xD4,,,x,,,,,,,4
LOAD-0xD5,,,x,,,,,,,4
LOAD-0xD6,,,x,,,,,,,4
LOAD-0xD7,,,x,,,,,,,4
LOAD-0xD8,,,x,,,,,,,4
LOAD-0xD9,,,x,,,,,,,4
LOAD-0xDA,,,x,,,,,,,4
LOAD-0xDB,,,x,,,,,,,4
LOAD-0xDC,,,x,,,,,,,4
LOAD-0xDD,,,x,,,,,,,4
LOAD-0xDE,,,x,,,,,,,4
LOAD-0xDF,,,x,,,,,,,4
SAVE-0xE0,,,x,,,,,,,4
SAVE-0xE1,,,x,,,,,,,4
SAVE-0xE2,,,x,,,,,,,4
SAVE-0xE3,,,x,,,,,,,4
SAVE-0xE4,,,x,,,,,,,4
SAVE-0xE5,,,x,,,,,,,4
SAVE-0xE6,,,x,,,,,,,4
SAVE-0xE7,,,x,,,,,,,4
SAVE-0xE8,,,x,,,,,,,4
SAVE-0xE9,,,x,,,,,,,4
SAVE-0xEA,,,x,,,,,,,4
SAVE-0xEB,,,x,,,,,,,4
SAVE-0xEC,,,x,,,,,,,4
SAVE-0xED,,,x,,,,,,,4
SAVE-0xEE,,,x,,,,,,,4
SAVE-0xEF,,,x,,,,,,,4
IN/OUT-0xF0,x,,x,,,,,,,5
IN/OUT-0xF1,x,,x,,,,,,,5
IN/OUT-0xF2,x,,x,,,,,,,5
IN/OUT-0xF3,x,,x,,,,,,,5
IN/OUT-0xF4,,,x,,,,,,,4
IN/OUT-0xF5,,,x,,,,,,,4
IN/OUT-0xF6,,,x,,,,,,,4
IN/OUT-0xF7,,,x,,,,,,,4
IN/OUT-0xF8,,,,,,,,,,0
IN/OUT-0xF9,,,,,,,,,,0
IN/OUT-0xFA,,,,,,,,,,0
IN/OUT-0xFB,,,,,,,,,,0
IN/OUT-0xFC,,,,,,,,,,0
IN/OUT-0xFD,,,,,,,,,,0
IN/OUT-0xFE,,,,,,,,,,0
HALT-0xFF,,,,,,,,,,0
