,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,,ASSEMBLER INST
OPP,OPP-0x89,,,x,,,,x,,,,,,,,,,,x,,,,,20044,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x89,opp b*b
OPP,OPP-0x8A,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8A,opp b*c
OPP,OPP-0x8B,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8B,opp b*d
OPP,OPP-0x8C,,,,x,,x,,,,,,,,,,,,,x,,,,40028,38,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8C,opp c*a
OPP,OPP-0x8D,,,,x,,,x,,,,,,,,,,,,x,,,,40048,3A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8D,opp c*b
OPP,OPP-0x8E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,3C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8E,opp c*c
OPP,OPP-0x8F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x8F,opp c*d
OPP,OPP-0x90,,,,,x,x,,,,,,,,,,,,,,x,,,80030,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x90,opp d*a
OPP,OPP-0x91,,,,,x,,x,,,,,,,,,,,,,x,,,80050,4D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x91,opp d*b
OPP,OPP-0x92,,,,,x,,,x,,,,,,,,,,,,x,,,80090,4F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x92,opp d*c
OPP,OPP-0x93,,,,,x,,,,x,,,,,,,,,,,x,,,80110,51,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x93,opp d*d
OPP,OPP-0x94,,x,,,,x,,,,,,,,,,,x,,,,,,10022,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x94,opp a.*a
OPP,OPP-0x95,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x95,opp a.*b
OPP,OPP-0x96,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x96,opp a.*c
OPP,OPP-0x97,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x97,opp a.*d
OPP,OPP-0x98,,,x,,,x,,,,,,,,,,,,x,,,,,20024,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x98,opp b.*a
OPP,OPP-0x99,,,x,,,,x,,,,,,,,,,,x,,,,,20044,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x99,opp b.*b
OPP,OPP-0x9A,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9A,opp b.*c
OPP,OPP-0x9B,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9B,opp b.*d
OPP,OPP-0x9C,,,,x,,x,,,,,,,,,,,,,x,,,,40028,38,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9C,opp c.*a
OPP,OPP-0x9D,,,,x,,,x,,,,,,,,,,,,x,,,,40048,3A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9D,opp c.*b
OPP,OPP-0x9E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,3C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9E,opp c.*c
OPP,OPP-0x9F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x9F,opp c.*d
OPP,OPP-0xA0,,,,,x,x,,,,,,,,,,,,,,x,,,80030,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA0,opp d.*a
OPP,OPP-0xA1,,,,,x,,x,,,,,,,,,,,,,x,,,80050,4D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA1,opp d.*b
OPP,OPP-0xA2,,,,,x,,,x,,,,,,,,,,,,x,,,80090,4F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA2,opp d.*c
OPP,OPP-0xA3,,,,,x,,,,x,,,,,,,,,,,x,,,80110,51,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA3,opp d.*d
OPP,OPP-0xA4,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA4,opp a/b
OPP,OPP-0xA5,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA5,opp a/c
OPP,OPP-0xA6,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA6,opp a/d
OPP,OPP-0xA7,,,x,,,x,,,,,,,,,,,,x,,,,,20024,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA7,opp b/a
OPP,OPP-0xA8,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA8,opp b/c
OPP,OPP-0xA9,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xA9,opp b/d
OPP,OPP-0xAA,,,,x,,x,,,,,,,,,,,,,x,,,,40028,38,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAA,opp c/a
OPP,OPP-0xAB,,,,x,,,x,,,,,,,,,,,,x,,,,40048,3A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAB,opp c/b
OPP,OPP-0xAC,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAC,opp c/d
OPP,OPP-0xAD,,,,,x,x,,,,,,,,,,,,,,x,,,80030,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAD,opp d/a
OPP,OPP-0xAE,,,,,x,,x,,,,,,,,,,,,,x,,,80050,4D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAE,opp d/b
OPP,OPP-0xAF,,,,,x,,,x,,,,,,,,,,,,x,,,80090,4F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xAF,opp d/c
OPP,OPP-0xB0,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB0,opp a&b
OPP,OPP-0xB1,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB1,opp a&c
OPP,OPP-0xB2,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB2,opp a&d
OPP,OPP-0xB3,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB3,opp b&c
OPP,OPP-0xB4,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB4,opp b&d
OPP,OPP-0xB5,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB5,opp c&d
OPP,OPP-0xB6,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB6,opp a|b
OPP,OPP-0xB7,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB7,opp a|c
OPP,OPP-0xB8,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB8,opp a|d
OPP,OPP-0xB9,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xB9,opp b|c
OPP,OPP-0xBA,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBA,opp b|d
OPP,OPP-0xBB,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBB,opp c|d
OPP,OPP-0xBC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBC,
OPP,OPP-0xBD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBD,
OPP,OPP-0xBE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBE,
OPP,OPP-0xBF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0xBF,
LOAD,LOAD-0xC0,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,LOAD-0xC0,,,,,,,,,,,x,,,,,,x,,,,,,10400,14,,,,LOAD-0xC0,load ram[a] a
LOAD,LOAD-0xC1,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,LOAD-0xC1,,,,,,,,,,,x,,,,,,,x,,,,,20400,2C,,,,LOAD-0xC1,load ram[a] b
LOAD,LOAD-0xC2,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,LOAD-0xC2,,,,,,,,,,,x,,,,,,,,x,,,,40400,3F,,,,LOAD-0xC2,load ram[a] c
LOAD,LOAD-0xC3,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,LOAD-0xC3,,,,,,,,,,,x,,,,,,,,,x,,,80400,52,,,,LOAD-0xC3,load ram[a] d
LOAD,LOAD-0xC4,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,LOAD-0xC4,,,,,,,,,,,x,,,,,,x,,,,,,10400,14,,,,LOAD-0xC4,load ram[b] a
LOAD,LOAD-0xC5,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,LOAD-0xC5,,,,,,,,,,,x,,,,,,,x,,,,,20400,2C,,,,LOAD-0xC5,load ram[b] b
LOAD,LOAD-0xC6,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,LOAD-0xC6,,,,,,,,,,,x,,,,,,,,x,,,,40400,3F,,,,LOAD-0xC6,load ram[b] c
LOAD,LOAD-0xC7,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,LOAD-0xC7,,,,,,,,,,,x,,,,,,,,,x,,,80400,52,,,,LOAD-0xC7,load ram[b] d
LOAD,LOAD-0xC8,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,LOAD-0xC8,,,,,,,,,,,x,,,,,,x,,,,,,10400,14,,,,LOAD-0xC8,load ram[c] a
LOAD,LOAD-0xC9,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,LOAD-0xC9,,,,,,,,,,,x,,,,,,,x,,,,,20400,2C,,,,LOAD-0xC9,load ram[c] b
LOAD,LOAD-0xCA,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,LOAD-0xCA,,,,,,,,,,,x,,,,,,,,x,,,,40400,3F,,,,LOAD-0xCA,load ram[c] c
LOAD,LOAD-0xCB,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,LOAD-0xCB,,,,,,,,,,,x,,,,,,,,,x,,,80400,52,,,,LOAD-0xCB,load ram[c] d
LOAD,LOAD-0xCC,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,LOAD-0xCC,,,,,,,,,,,x,,,,,,x,,,,,,10400,14,,,,LOAD-0xCC,load ram[d] a
LOAD,LOAD-0xCD,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,LOAD-0xCD,,,,,,,,,,,x,,,,,,,x,,,,,20400,2C,,,,LOAD-0xCD,load ram[d] b
LOAD,LOAD-0xCE,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,LOAD-0xCE,,,,,,,,,,,x,,,,,,,,x,,,,40400,3F,,,,LOAD-0xCE,load ram[d] c
LOAD,LOAD-0xCF,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,LOAD-0xCF,,,,,,,,,,,x,,,,,,,,,x,,,80400,52,,,,LOAD-0xCF,load ram[d] d
LOAD,LOAD-0xD0,,,,,,,,,,x,,,,,,,x,,,,x,,110200,18,,LOAD-0xD0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD0,load rom a {number}
LOAD,LOAD-0xD1,,,,,,,,,,x,,,,,,,,x,,,x,,120200,19,,LOAD-0xD1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD1,load rom b {number}
LOAD,LOAD-0xD2,,,,,,,,,,x,,,,,,,,,x,,x,,140200,1B,,LOAD-0xD2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD2,load rom c {number}
LOAD,LOAD-0xD3,,,,,,,,,,x,,,,,,,,,,x,x,,180200,1C,,LOAD-0xD3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD3,load rom d {number}
LOAD,LOAD-0xD4,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,LOAD-0xD4,,,,,,,,,,,x,,,,,,x,,,,,,10400,14,,,,LOAD-0xD4,load ram[{number}] a
LOAD,LOAD-0xD5,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,LOAD-0xD5,,,,,,,,,,,x,,,,,,,x,,,,,20400,2C,,,,LOAD-0xD5,load ram[{number}] b
LOAD,LOAD-0xD6,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,LOAD-0xD6,,,,,,,,,,,x,,,,,,,,x,,,,40400,3F,,,,LOAD-0xD6,load ram[{number}] c
LOAD,LOAD-0xD7,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,LOAD-0xD7,,,,,,,,,,,x,,,,,,,,,x,,,80400,52,,,,LOAD-0xD7,load ram[{number}] d
LOAD,LOAD-0xD8,,x,,,,,,,,,,,,,,x,,,,,,,8002,4A,,LOAD-0xD8,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD8,set a rampage
LOAD,LOAD-0xD9,,,x,,,,,,,,,,,,,x,,,,,,,8004,4C,,LOAD-0xD9,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xD9,set b rampage
LOAD,LOAD-0xDA,,,,x,,,,,,,,,,,,x,,,,,,,8008,4E,,LOAD-0xDA,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDA,set c rampage
LOAD,LOAD-0xDB,,,,,x,,,,,,,,,,,x,,,,,,,8010,50,,LOAD-0xDB,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDB,set d rampage
LOAD,LOAD-0xDC,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xDC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDC,
LOAD,LOAD-0xDD,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xDD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDD,
LOAD,LOAD-0xDE,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xDE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDE,
LOAD,LOAD-0xDF,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xDF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,LOAD-0xDF,
SAVE,SAVE-0xE0,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,SAVE-0xE0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE0,save a mar
SAVE,SAVE-0xE1,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,SAVE-0xE1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE1,save b mar
SAVE,SAVE-0xE2,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,SAVE-0xE2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE2,save c mar
SAVE,SAVE-0xE3,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,SAVE-0xE3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE3,save d mar
SAVE,SAVE-0xE4,,x,,,,,,,,,,,,x,,,,,,,,,2002,24,,SAVE-0xE4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE4,save a ram[current]
SAVE,SAVE-0xE5,,,x,,,,,,,,,,,x,,,,,,,,,2004,26,,SAVE-0xE5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE5,save b ram[current]
SAVE,SAVE-0xE6,,,,x,,,,,,,,,,x,,,,,,,,,2008,28,,SAVE-0xE6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE6,save c ram[current]
SAVE,SAVE-0xE7,,,,,x,,,,,,,,,x,,,,,,,,,2010,2A,,SAVE-0xE7,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,SAVE-0xE7,save d ram[current]
SAVE,SAVE-0xE8,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,SAVE-0xE8,,x,,,,,,,,,,,,x,,,,,,,,,2002,24,,,,SAVE-0xE8,save a ram[a]
SAVE,SAVE-0xE9,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,SAVE-0xE9,,,x,,,,,,,,,,,x,,,,,,,,,2004,26,,,,SAVE-0xE9,save b ram[c]
SAVE,SAVE-0xEA,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,SAVE-0xEA,,,,x,,,,,,,,,,x,,,,,,,,,2008,28,,,,SAVE-0xEA,save c ram[d]
SAVE,SAVE-0xEB,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,SAVE-0xEB,,,,,x,,,,,,,,,x,,,,,,,,,2010,2A,,,,SAVE-0xEB,save d ram[d]
SAVE,SAVE-0xEC,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,SAVE-0xEC,,x,,,,,,,,,,,,x,,,,,,,,,2002,24,,,,SAVE-0xEC,save a ram[{number}]
SAVE,SAVE-0xED,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,SAVE-0xED,,,x,,,,,,,,,,,x,,,,,,,,,2004,26,,,,SAVE-0xED,save b ram[{number}]
SAVE,SAVE-0xEE,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,SAVE-0xEE,,,,x,,,,,,,,,,x,,,,,,,,,2008,28,,,,SAVE-0xEE,save c ram[{number}]
SAVE,SAVE-0xEF,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,SAVE-0xEF,,,,,x,,,,,,,,,x,,,,,,,,,2010,2A,,,,SAVE-0xEF,save d ram[{number}]
IN/OUT,IN/OUT-0xF0,x,,,,,,,,,,,,,,,,x,,,,,,10001,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF0,in a
IN/OUT,IN/OUT-0xF1,x,,,,,,,,,,,,,,,,,x,,,,,20001,1F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF1,in b
IN/OUT,IN/OUT-0xF2,x,,,,,,,,,,,,,,,,,,x,,,,40001,32,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF2,in c
IN/OUT,IN/OUT-0xF3,x,,,,,,,,,,,,,,,,,,,x,,,80001,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF3,in d
IN/OUT,IN/OUT-0xF4,,x,,,,,,,,,,,x,,,,,,,,,,1002,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF4,out a
IN/OUT,IN/OUT-0xF5,,,x,,,,,,,,,,x,,,,,,,,,,1004,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF5,out b
IN/OUT,IN/OUT-0xF6,,,,x,,,,,,,,,x,,,,,,,,,,1008,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF6,out c
IN/OUT,IN/OUT-0xF7,,,,,x,,,,,,,,x,,,,,,,,,,1010,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF7,out d
IN/OUT,IN/OUT-0xF8,,,,,,,,,,x,,,x,,,,,,,,x,,101200,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xF8,out {number}
IN/OUT,IN/OUT-0xF9,,,,,,,,,,x,,,,,x,,,,,,x,,104200,15,,,,,,,,,,,,,x,,x,,,,,,,,,,1400,1A,,,,IN/OUT-0xF9,out ram[{number}]
IN/OUT,IN/OUT-0xFA,,x,,,,,,,,,,,,,x,,,,,,,,4002,37,,,,,,,,,,,,,x,,x,,,,,,,,,,1400,1A,,,,IN/OUT-0xFA,out ram[a]
IN/OUT,IN/OUT-0xFB,,,x,,,,,,,,,,,,x,,,,,,,,4004,39,,,,,,,,,,,,,x,,x,,,,,,,,,,1400,1A,,,,IN/OUT-0xFB,out ram[b]
IN/OUT,IN/OUT-0xFC,,,,x,,,,,,,,,,,x,,,,,,,,4008,3B,,,,,,,,,,,,,x,,x,,,,,,,,,,1400,1A,,,,IN/OUT-0xFC,out ram[c]
IN/OUT,IN/OUT-0xFD,,,,,x,,,,,,,,,,x,,,,,,,,4010,3D,,,,,,,,,,,,,x,,x,,,,,,,,,,1400,1A,,,,IN/OUT-0xFD,out ram[d]
IN/OUT,IN/OUT-0xFE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,IN/OUT-0xFE,
HALT,HALT-0xFF,,,,,,,,,,,,,,,,,,,,,,x,200000,1E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,HALT-0xFF,pause
