,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,,ASSEMBLER INST
JMP,JMP-0x31,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x31,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,4,,JMP-0x31,jmp = {label}
JMP,JMP-0x32,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x32,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40001,,JMP-0x32,jmp != {label}
JMP,JMP-0x33,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x33,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40002,,JMP-0x33,jmp < {label}
JMP,JMP-0x34,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x34,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40004,,JMP-0x34,jmp <= {label}
JMP,JMP-0x35,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x35,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40008,,JMP-0x35,jmp > {label}
JMP,JMP-0x36,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x36,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40010,,JMP-0x36,jmp >= {label}
JMP,JMP-0x37,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x37,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,4002,,JMP-0x37,jmp .< {label}
JMP,JMP-0x38,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x38,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40028,,JMP-0x38,jmp .<= {label}
JMP,JMP-0x39,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x39,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,4004,,JMP-0x39,jmp .> {label}
JMP,JMP-0x3A,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x3A,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,40048,,JMP-0x3A,jmp .>= {label}
JMP,JMP-0x3B,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x3B,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,4008,,JMP-0x3B,jmp z {number}
JMP,JMP-0x3C,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x3C,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,40088,,JMP-0x3C,jmp o {number}
JMP,JMP-0x3D,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x3D,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,4010,,JMP-0x3D,jmp c {number}
JMP,JMP-0x3E,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x3E,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,40108,,JMP-0x3E,jmp s {number}
JMP,JMP-0x3F,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3F,,,,,,,,,,,,,,,,,,,,,,,0,0,,40400,,JMP-0x3F,
JMP,JMP-0x40,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x40,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,42,,JMP-0x40,jmpr {number}
JMP,JMP-0x41,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x41,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,44,,JMP-0x41,jmpr = {number}
JMP,JMP-0x42,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x42,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,48,,JMP-0x42,jmpr != {number}
JMP,JMP-0x43,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x43,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,50,,JMP-0x43,jmpr < {number}
JMP,JMP-0x44,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x44,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,8,,JMP-0x44,jmpr <= {number}
JMP,JMP-0x45,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x45,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,80001,,JMP-0x45,jmpr > {number}
JMP,JMP-0x46,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x46,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,80002,,JMP-0x46,jmpr >= {number}
JMP,JMP-0x47,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x47,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,80004,,JMP-0x47,jmpr .< {number}
JMP,JMP-0x48,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x48,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,80008,,JMP-0x48,jmpr .<= {number}
JMP,JMP-0x49,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x49,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,80010,,JMP-0x49,jmpr .> {number}
JMP,JMP-0x4A,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x4A,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,E,,8002,,JMP-0x4A,jmpr .>= {number}
JMP,JMP-0x4B,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x4B,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,80030,,JMP-0x4B,jmpr z {number}
JMP,JMP-0x4C,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x4C,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,8004,,JMP-0x4C,jmpr o {number}
JMP,JMP-0x4D,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x4D,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,80050,,JMP-0x4D,jmpr c {number}
JMP,JMP-0x4E,,,,,,,,,,x,,,,,,,,,,,x,,100200,8,,JMP-0x4E,,,,,,,,,,x,,x,,,,,,,,,,,A00,57,,8008,,JMP-0x4E,jmpr s {number}
JMP,JMP-0x4F,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x4F,,,,,,,,,,,,,,,,,,,,,,,0,0,,80090,,JMP-0x4F,
OPP,OPP-0x50,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8010,,OPP-0x50,opp clr
OPP,OPP-0x51,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80110,,OPP-0x51,opp cmp off
OPP,OPP-0x52,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80400,,OPP-0x52,opp cmp on
OPP,OPP-0x53,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,82,,OPP-0x53,opp sign off
OPP,OPP-0x54,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,84,,OPP-0x54,opp sign on
OPP,OPP-0x55,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,88,,OPP-0x55,opp 0
OPP,OPP-0x56,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,90,,OPP-0x56,opp 1
OPP,OPP-0x57,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,A00,,OPP-0x57,opp -1
